timestamp,card_id,amount,merchant_category,entry_mode,is_cnp,hour,day_of_week,device_age_days,country_mismatch,n_txn_1h,amount_vs_card_median,is_fraud
2025-01-01 00:00:03.256628100,5461,6.34,travel,ecommerce,1,0,2,1,0,1,0.686,0
2025-01-01 00:12:18.592485639,7370,37.83,restaurant,contactless,0,0,2,10,0,0,1.023,0
2025-01-01 00:12:44.834475096,7929,53.89,restaurant,ecommerce,1,0,2,233,0,0,3.921,0
2025-01-01 00:14:19.130746022,2460,7.49,fuel,ecommerce,1,0,2,443,0,0,0.224,0
2025-01-01 00:17:24.082430272,4842,1.96,travel,chip,0,0,2,752,0,0,0.057,0
2025-01-01 00:26:31.474684046,6480,29.82,restaurant,contactless,0,0,2,805,0,0,1.238,0
2025-01-01 00:30:58.944497939,2931,144.96,grocery,contactless,0,0,2,2,0,0,3.547,0
2025-01-01 00:31:06.047741026,5339,38.69,restaurant,contactless,0,0,2,226,0,1,1.684,0
2025-01-01 00:35:26.256471811,2387,6.8,restaurant,ecommerce,1,0,2,350,0,0,0.495,0
2025-01-01 00:35:45.732955310,1467,8.06,other,chip,0,0,2,2,0,0,0.258,0
2025-01-01 00:42:06.107353140,572,56.78,grocery,chip,0,0,2,84,1,0,2.964,0
2025-01-01 00:52:48.632097958,7321,31.1,restaurant,contactless,0,0,2,252,0,0,0.57,0
2025-01-01 00:52:57.630722271,6040,5.86,other,chip,0,0,2,465,0,4,0.127,0
2025-01-01 00:53:35.014109456,3763,12.32,grocery,chip,0,0,2,814,1,1,1.128,0
2025-01-01 00:56:00.502472880,419,3.5,grocery,chip,0,0,2,856,1,0,0.094,0
2025-01-01 00:56:16.158538529,8909,31.17,fuel,ecommerce,1,0,2,281,0,2,0.723,0
2025-01-01 01:04:44.792005128,3203,35.64,pharmacy,contactless,0,1,2,0,0,1,1.397,0
2025-01-01 01:06:25.086124260,8529,59.17,grocery,chip,0,1,2,213,0,0,3.135,0
2025-01-01 01:11:40.477312800,5483,16.99,gaming,ecommerce,1,1,2,466,0,3,0.478,0
2025-01-01 01:17:48.068402925,7008,54.17,restaurant,manual,1,1,2,547,0,1,1.084,0
2025-01-01 01:17:54.723263043,8649,285.87,fuel,magstripe,0,1,2,797,0,1,28.92,0
2025-01-01 01:18:00.896807989,2071,17.49,grocery,chip,0,1,2,135,0,0,3.154,0
2025-01-01 01:26:18.732604719,7688,42.48,other,chip,0,1,2,1,0,1,1.615,0
2025-01-01 01:29:33.863826078,5451,16.96,other,contactless,0,1,2,276,0,1,0.378,0
2025-01-01 01:32:00.210983707,2623,40.7,restaurant,contactless,0,1,2,666,0,0,3.668,0
2025-01-01 01:37:18.683067967,8815,21.79,gaming,ecommerce,1,1,2,549,0,1,2.06,0
2025-01-01 01:38:09.594826859,890,41.67,restaurant,ecommerce,1,1,2,441,0,2,2.381,0
2025-01-01 01:38:30.651277905,4363,95.96,fuel,ecommerce,1,1,2,259,0,1,4.247,0
2025-01-01 01:41:21.124419984,8401,47.37,grocery,ecommerce,1,1,2,0,0,2,1.557,0
2025-01-01 01:42:40.947448492,1131,19.44,grocery,contactless,0,1,2,2,0,1,0.718,0
2025-01-01 01:43:00.822175018,5261,55.61,fuel,ecommerce,1,1,2,502,1,0,1.314,0
2025-01-01 01:46:02.081653642,8921,9.13,restaurant,contactless,0,1,2,645,0,0,0.587,0
