application_id,application_month,age,employment_years,annual_income,loan_amount,term_months,interest_rate,debt_to_income,credit_score,n_open_accounts,n_delinq_2yr,home_ownership,purpose,employment_type,region,channel,prior_customer,collections_flag,default
APP000000,2022-11,21,1.4,22000.0,22600.0,48,15.35,0.4214,612.0,4,0,rent,debt_consolidation,salaried,midwest,digital,False,0,0
APP000001,2024-12,42,9.7,38300.0,13300.0,36,14.15,0.2295,683.0,2,1,mortgage,debt_consolidation,salaried,south,digital,True,0,0
APP000002,2023-11,53,9.6,45100.0,17600.0,48,14.02,0.2291,669.0,12,0,rent,auto,salaried,northeast,digital,False,0,0
APP000003,2024-10,31,,43200.0,10500.0,36,13.88,0.2185,700.0,9,0,mortgage,debt_consolidation,self_employed,midwest,broker,True,0,0
APP000004,2023-05,43,1.9,22500.0,2200.0,48,12.71,0.111,689.0,1,0,mortgage,home_improvement,salaried,west,digital,True,0,0
APP000005,2023-08,51,23.7,35800.0,8700.0,60,15.14,0.2506,679.0,1,0,mortgage,debt_consolidation,salaried,midwest,broker,False,1,1
APP000006,2023-02,61,3.6,64100.0,43000.0,36,14.28,0.5656,711.0,5,0,mortgage,debt_consolidation,salaried,west,digital,False,0,0
APP000007,2024-10,27,1.8,24800.0,22800.0,24,19.43,0.8214,542.0,5,0,own,debt_consolidation,salaried,northeast,digital,False,0,0
APP000008,2023-01,32,6.9,28200.0,17400.0,36,16.0,0.3247,641.0,4,0,rent,debt_consolidation,salaried,midwest,digital,False,0,0
APP000009,2022-06,46,5.4,33300.0,16100.0,60,14.73,0.2589,682.0,5,0,mortgage,debt_consolidation,salaried,west,branch,False,0,0
APP000010,2022-10,46,12.9,61600.0,31200.0,48,16.73,0.2595,653.0,4,0,own,auto,salaried,south,branch,False,0,0
APP000011,2022-05,28,10.4,35400.0,11000.0,36,12.81,0.3261,752.0,5,0,rent,debt_consolidation,self_employed,south,branch,True,0,0
APP000012,2024-02,30,,21800.0,3500.0,36,15.49,0.1134,616.0,3,0,rent,other,self_employed,south,digital,False,0,0
APP000013,2024-12,28,2.0,20200.0,13500.0,24,16.5,0.7373,562.0,8,0,rent,debt_consolidation,contract,west,partner,True,0,0
APP000014,2022-10,44,1.6,26300.0,1000.0,36,14.29,0.1283,647.0,4,0,mortgage,home_improvement,salaried,west,digital,True,0,0
APP000015,2024-08,40,,29500.0,30500.0,12,21.29,1.2824,,4,0,mortgage,debt_consolidation,self_employed,south,digital,True,1,1
APP000016,2023-10,85,16.5,89800.0,57900.0,24,16.96,0.6648,622.0,10,0,rent,medical,salaried,south,partner,False,1,1
APP000017,2024-12,33,8.9,29300.0,4400.0,48,17.36,0.1758,,8,0,own,debt_consolidation,salaried,west,digital,False,0,0
APP000018,2023-07,56,6.5,26200.0,7600.0,48,13.22,0.1939,684.0,4,0,mortgage,medical,contract,west,digital,True,0,0
APP000019,2024-03,52,1.7,15400.0,12600.0,24,15.62,0.4666,583.0,6,1,mortgage,auto,salaried,midwest,digital,False,1,1
APP000020,2022-02,38,,36900.0,7300.0,24,15.09,0.5439,633.0,2,0,own,debt_consolidation,self_employed,midwest,branch,False,0,0
APP000021,2023-12,54,3.8,23200.0,11000.0,48,15.92,0.3406,679.0,7,0,mortgage,medical,contract,south,partner,False,0,0
APP000022,2023-06,56,7.8,28300.0,9500.0,48,15.32,0.3918,686.0,4,0,rent,home_improvement,salaried,south,branch,False,0,0
APP000023,2024-04,62,8.8,32100.0,27900.0,48,19.31,0.5063,552.0,9,0,mortgage,medical,salaried,west,digital,False,1,1
APP000024,2022-01,78,16.2,42600.0,20900.0,60,15.12,0.2265,747.0,6,0,rent,auto,retired,midwest,branch,False,0,0
APP000025,2024-11,42,5.1,12900.0,8200.0,60,15.41,0.2295,613.0,3,0,mortgage,other,retired,south,digital,False,0,0
APP000026,2024-10,31,2.5,17900.0,12200.0,60,18.02,0.388,590.0,7,0,rent,home_improvement,retired,south,digital,False,0,0
APP000027,2023-01,47,1.9,31600.0,6300.0,48,14.73,0.2232,628.0,5,0,rent,home_improvement,contract,midwest,partner,False,0,0
APP000028,2023-02,29,4.0,14000.0,7700.0,48,15.04,0.3009,680.0,6,0,mortgage,home_improvement,contract,south,partner,True,0,0
APP000029,2023-04,39,2.8,35300.0,31600.0,24,14.82,0.6157,685.0,4,0,rent,debt_consolidation,retired,south,partner,True,0,0
APP000030,2024-09,34,4.0,44500.0,8900.0,60,15.58,0.3253,613.0,6,0,mortgage,medical,salaried,south,digital,True,0,0
APP000031,2023-06,43,,35500.0,14700.0,24,14.83,0.2891,691.0,2,0,rent,auto,self_employed,northeast,digital,False,0,0
APP000032,2024-10,50,5.6,41100.0,5900.0,36,13.76,0.2287,701.0,6,0,mortgage,debt_consolidation,salaried,west,digital,True,0,0
APP000033,2024-10,32,4.3,15600.0,2000.0,60,15.87,0.2336,,4,0,own,debt_consolidation,salaried,west,branch,False,0,0
