policy_id,exposure,driver_age,vehicle_age,vehicle_power,bonus_malus,annual_mileage,area,fuel,coverage,claim_count,claim_cost
POL000000,0.703,57,5.7,172.0,133,17000.0,suburban,diesel,comprehensive,0,0.0
POL000001,0.475,43,2.8,113.0,106,1000.0,urban,diesel,third_party,0,0.0
POL000002,0.854,52,4.2,103.0,116,9000.0,suburban,electric,third_party,0,0.0
POL000003,0.707,51,4.1,110.0,90,4200.0,rural,electric,comprehensive,0,0.0
POL000004,0.963,68,6.1,164.0,86,11300.0,urban,petrol,comprehensive,0,0.0
POL000005,0.404,50,1.6,51.0,80,15300.0,suburban,diesel,comprehensive,0,0.0
POL000006,0.689,58,8.7,97.0,95,15900.0,rural,diesel,third_party,0,0.0
POL000007,0.827,59,11.2,60.0,72,7900.0,suburban,petrol,third_party,0,0.0
POL000008,0.693,39,9.7,136.0,91,12100.0,urban,diesel,comprehensive,0,0.0
POL000009,0.674,71,0.8,137.0,158,12700.0,suburban,diesel,comprehensive,1,1429.78
POL000010,0.828,45,0.6,78.0,116,20900.0,urban,petrol,third_party,0,0.0
POL000011,0.545,46,9.0,104.0,75,8100.0,urban,petrol,comprehensive,0,0.0
POL000012,0.87,36,12.6,128.0,140,12400.0,suburban,petrol,comprehensive,0,0.0
POL000013,0.516,43,1.8,112.0,141,16200.0,suburban,hybrid,third_party,0,0.0
POL000014,0.673,63,0.9,151.0,94,6400.0,suburban,hybrid,comprehensive,0,0.0
POL000015,0.585,65,1.4,59.0,136,7800.0,urban,petrol,comprehensive,0,0.0
POL000016,0.471,38,6.5,121.0,86,17100.0,suburban,petrol,third_party,0,0.0
POL000017,0.555,36,5.3,115.0,78,6600.0,urban,hybrid,third_party,0,0.0
POL000018,0.759,47,7.5,157.0,76,14000.0,urban,diesel,comprehensive,0,0.0
POL000019,0.473,66,5.6,144.0,154,12700.0,suburban,hybrid,comprehensive,0,0.0
POL000020,0.877,52,17.0,98.0,122,14300.0,rural,diesel,comprehensive,0,0.0
POL000021,0.768,46,6.7,124.0,157,17600.0,rural,petrol,comprehensive,0,0.0
POL000022,0.822,46,15.1,134.0,77,17300.0,urban,electric,comprehensive,0,0.0
POL000023,0.571,43,4.2,130.0,76,14200.0,urban,petrol,comprehensive,0,0.0
POL000024,0.528,84,11.0,109.0,82,21100.0,urban,petrol,comprehensive,0,0.0
POL000025,0.76,39,8.1,61.0,105,10800.0,suburban,electric,third_party,0,0.0
POL000026,0.363,69,13.8,134.0,107,12300.0,urban,electric,comprehensive,0,0.0
POL000027,0.522,55,5.2,129.0,91,14500.0,urban,petrol,third_party,0,0.0
POL000028,0.912,79,4.4,132.0,104,8000.0,suburban,petrol,comprehensive,0,0.0
POL000029,0.471,79,2.3,69.0,105,15300.0,urban,petrol,third_party,0,0.0
POL000030,0.827,64,4.3,131.0,108,21400.0,urban,diesel,comprehensive,0,0.0
POL000031,0.758,54,7.9,53.0,125,9300.0,urban,petrol,comprehensive,0,0.0
POL000032,0.812,39,3.4,87.0,63,12500.0,rural,petrol,comprehensive,0,0.0
POL000033,0.797,68,9.5,84.0,96,9500.0,suburban,diesel,comprehensive,0,0.0
POL000034,0.902,89,13.8,69.0,140,2400.0,suburban,petrol,comprehensive,0,0.0
POL000035,0.899,32,0.8,155.0,133,8200.0,urban,hybrid,comprehensive,0,0.0
POL000036,0.903,45,3.4,162.0,83,15800.0,urban,petrol,comprehensive,0,0.0
POL000037,0.726,55,9.6,111.0,127,15900.0,urban,petrol,third_party,0,0.0
POL000038,0.115,53,3.1,161.0,139,2800.0,rural,diesel,comprehensive,0,0.0
POL000039,0.636,77,1.5,60.0,80,7300.0,suburban,diesel,third_party,0,0.0
POL000040,0.491,41,2.7,105.0,87,8400.0,suburban,petrol,third_party,0,0.0
POL000041,0.548,47,2.5,85.0,115,23300.0,rural,petrol,third_party,0,0.0
POL000042,0.686,48,11.3,72.0,67,11600.0,urban,diesel,comprehensive,0,0.0
POL000043,0.972,29,12.8,138.0,91,14600.0,suburban,hybrid,comprehensive,0,0.0
POL000044,0.768,59,2.8,108.0,85,7700.0,suburban,petrol,comprehensive,0,0.0
POL000045,0.593,33,4.4,107.0,89,24300.0,suburban,petrol,comprehensive,0,0.0
POL000046,0.636,45,1.0,65.0,84,18600.0,urban,petrol,comprehensive,0,0.0
POL000047,0.789,82,6.6,85.0,99,13100.0,urban,diesel,third_party,0,0.0
POL000048,0.908,54,3.9,89.0,69,12800.0,suburban,hybrid,third_party,0,0.0
POL000049,0.884,55,5.9,72.0,105,15000.0,suburban,electric,comprehensive,0,0.0
POL000050,0.855,48,0.5,114.0,106,16100.0,urban,hybrid,comprehensive,0,0.0
POL000051,0.748,54,10.0,114.0,87,15400.0,rural,petrol,comprehensive,0,0.0
POL000052,0.894,47,7.2,111.0,91,12100.0,suburban,petrol,third_party,0,0.0
POL000053,0.961,59,7.0,72.0,107,16600.0,urban,diesel,comprehensive,0,0.0
POL000054,0.479,83,6.6,117.0,68,13800.0,suburban,diesel,third_party,0,0.0
POL000055,0.606,43,6.5,169.0,91,16400.0,urban,hybrid,comprehensive,0,0.0
POL000056,0.854,45,6.4,96.0,77,15300.0,suburban,diesel,comprehensive,0,0.0
POL000057,0.879,86,7.3,159.0,92,13100.0,suburban,petrol,comprehensive,0,0.0
POL000058,0.746,38,1.3,169.0,96,4500.0,urban,petrol,third_party,0,0.0
POL000059,0.635,54,8.1,102.0,139,13500.0,suburban,petrol,comprehensive,0,0.0
POL000060,0.624,57,10.8,96.0,132,12500.0,rural,diesel,third_party,0,0.0
POL000061,0.75,85,5.6,112.0,106,22700.0,suburban,electric,comprehensive,0,0.0
POL000062,0.595,75,16.9,130.0,59,11400.0,urban,diesel,third_party,0,0.0
POL000063,0.891,48,5.0,121.0,122,13100.0,suburban,electric,third_party,0,0.0
POL000064,0.738,48,6.9,86.0,139,14100.0,urban,petrol,third_party,0,0.0
POL000065,0.917,75,1.0,133.0,116,13100.0,urban,petrol,third_party,0,0.0
POL000066,0.688,47,6.7,89.0,82,9400.0,urban,hybrid,third_party,0,0.0
POL000067,0.85,50,5.6,117.0,99,19600.0,rural,diesel,third_party,0,0.0
POL000068,0.745,53,18.2,141.0,153,2200.0,urban,petrol,comprehensive,0,0.0
POL000069,0.69,54,5.0,122.0,91,9800.0,urban,petrol,comprehensive,0,0.0
POL000070,0.668,62,2.3,135.0,106,19900.0,suburban,petrol,comprehensive,0,0.0
POL000071,0.636,73,3.2,173.0,97,12400.0,rural,hybrid,comprehensive,0,0.0
POL000072,0.885,48,16.7,111.0,76,8200.0,suburban,hybrid,third_party,0,0.0
POL000073,0.797,70,3.9,82.0,78,14500.0,rural,petrol,third_party,0,0.0
POL000074,0.853,43,5.1,155.0,71,14700.0,rural,diesel,third_party,0,0.0
POL000075,0.886,70,1.2,90.0,108,9800.0,suburban,petrol,third_party,1,1145.08
POL000076,0.531,46,14.2,126.0,139,13200.0,rural,petrol,comprehensive,0,0.0
POL000077,0.488,49,6.9,103.0,155,11000.0,urban,diesel,third_party,0,0.0
POL000078,0.665,56,4.8,128.0,64,16200.0,urban,petrol,comprehensive,0,0.0
POL000079,0.885,40,9.9,157.0,135,19700.0,suburban,diesel,comprehensive,0,0.0
POL000080,0.647,57,1.8,154.0,79,7700.0,urban,petrol,third_party,0,0.0
POL000081,0.638,92,8.9,126.0,78,16800.0,urban,hybrid,comprehensive,0,0.0
POL000082,0.776,57,2.7,138.0,146,15000.0,suburban,hybrid,comprehensive,0,0.0
POL000083,0.708,60,3.1,115.0,84,4800.0,suburban,hybrid,third_party,0,0.0
POL000084,0.49,64,4.8,130.0,66,17000.0,rural,petrol,comprehensive,0,0.0
POL000085,0.506,79,6.3,103.0,123,5800.0,suburban,diesel,comprehensive,0,0.0
POL000086,0.776,38,4.3,152.0,85,19200.0,urban,diesel,comprehensive,0,0.0
POL000087,0.867,55,1.4,119.0,122,10500.0,urban,petrol,comprehensive,0,0.0
POL000088,0.592,41,19.5,80.0,86,16200.0,rural,petrol,third_party,0,0.0
POL000089,0.733,52,13.1,114.0,62,15500.0,rural,petrol,third_party,0,0.0
POL000090,0.785,40,1.9,135.0,70,8400.0,urban,petrol,comprehensive,0,0.0
POL000091,0.651,64,10.9,166.0,81,8700.0,suburban,petrol,comprehensive,0,0.0
POL000092,0.737,62,12.8,112.0,106,5900.0,suburban,diesel,third_party,0,0.0
POL000093,0.533,36,12.7,112.0,93,9000.0,rural,petrol,comprehensive,0,0.0
POL000094,0.877,74,12.5,77.0,94,17800.0,suburban,electric,comprehensive,0,0.0
POL000095,0.496,60,2.8,87.0,66,8600.0,rural,petrol,comprehensive,0,0.0
POL000096,0.917,63,14.5,139.0,101,10100.0,rural,petrol,comprehensive,0,0.0
POL000097,0.627,41,1.0,117.0,85,13100.0,urban,diesel,third_party,0,0.0
POL000098,0.909,43,5.8,138.0,86,9900.0,suburban,diesel,comprehensive,0,0.0
POL000099,0.71,45,5.1,116.0,121,17100.0,suburban,petrol,comprehensive,0,0.0
POL000100,0.464,64,1.4,75.0,81,13200.0,suburban,petrol,comprehensive,0,0.0
POL000101,0.875,66,1.7,90.0,91,14500.0,urban,petrol,third_party,0,0.0
POL000102,0.526,50,13.6,116.0,84,11100.0,urban,diesel,comprehensive,0,0.0
POL000103,0.53,76,3.4,91.0,66,16000.0,suburban,electric,third_party,0,0.0
POL000104,0.586,40,0.3,136.0,129,5300.0,suburban,petrol,comprehensive,0,0.0
POL000105,0.615,59,1.4,80.0,76,14400.0,suburban,petrol,comprehensive,0,0.0
POL000106,0.908,66,6.9,96.0,139,17200.0,urban,petrol,comprehensive,0,0.0
POL000107,0.698,55,6.8,106.0,142,10600.0,suburban,petrol,comprehensive,0,0.0
POL000108,0.794,85,1.4,98.0,95,14800.0,suburban,petrol,third_party,0,0.0
POL000109,0.898,35,4.5,90.0,85,19300.0,rural,diesel,comprehensive,0,0.0
POL000110,0.581,57,2.9,152.0,105,15400.0,suburban,diesel,comprehensive,0,0.0
POL000111,0.709,56,2.0,123.0,88,3800.0,rural,hybrid,comprehensive,0,0.0
POL000112,0.842,44,6.8,153.0,100,15300.0,urban,diesel,third_party,0,0.0
POL000113,0.784,50,6.3,95.0,104,4700.0,suburban,petrol,comprehensive,0,0.0
POL000114,0.613,53,1.0,94.0,123,7600.0,urban,diesel,comprehensive,0,0.0
POL000115,0.979,41,3.6,124.0,104,12600.0,urban,petrol,comprehensive,0,0.0
POL000116,0.938,62,10.3,69.0,88,12100.0,urban,petrol,third_party,0,0.0
POL000117,0.841,54,1.4,89.0,111,11600.0,suburban,diesel,third_party,0,0.0
POL000118,0.798,58,10.5,82.0,97,6200.0,urban,petrol,third_party,0,0.0
POL000119,0.415,71,11.0,164.0,101,14100.0,rural,hybrid,third_party,0,0.0
POL000120,0.781,65,11.3,111.0,91,16200.0,rural,petrol,comprehensive,0,0.0
POL000121,0.789,64,3.5,115.0,132,6600.0,suburban,petrol,comprehensive,0,0.0
POL000122,0.69,92,2.5,177.0,87,13700.0,rural,petrol,third_party,0,0.0
POL000123,0.547,76,4.6,142.0,115,13300.0,suburban,electric,comprehensive,0,0.0
POL000124,0.796,66,7.4,69.0,107,12400.0,urban,petrol,third_party,0,0.0
POL000125,0.682,74,4.3,129.0,85,17000.0,suburban,petrol,comprehensive,0,0.0
POL000126,0.883,65,3.1,89.0,71,15100.0,suburban,petrol,comprehensive,0,0.0
POL000127,0.784,47,5.5,122.0,121,12600.0,rural,diesel,third_party,0,0.0
POL000128,0.714,66,8.7,116.0,98,6800.0,urban,diesel,comprehensive,0,0.0
POL000129,0.51,50,5.2,152.0,135,11800.0,rural,electric,comprehensive,0,0.0
POL000130,0.843,92,8.8,90.0,168,9800.0,rural,diesel,comprehensive,0,0.0
POL000131,0.56,64,10.9,108.0,137,13200.0,urban,electric,comprehensive,1,4533.18
POL000132,0.995,35,6.7,104.0,90,6400.0,urban,diesel,comprehensive,0,0.0
POL000133,0.74,56,4.4,154.0,81,20200.0,urban,petrol,third_party,0,0.0
POL000134,0.687,54,2.8,154.0,120,10400.0,urban,hybrid,comprehensive,0,0.0
POL000135,0.871,55,4.2,116.0,173,20100.0,suburban,hybrid,third_party,0,0.0
POL000136,0.577,47,2.1,129.0,111,10100.0,suburban,diesel,third_party,0,0.0
POL000137,0.663,60,1.7,105.0,77,14500.0,urban,petrol,third_party,0,0.0
POL000138,0.827,91,6.4,85.0,71,15900.0,urban,electric,comprehensive,0,0.0
POL000139,0.854,42,6.1,139.0,118,14400.0,urban,diesel,comprehensive,0,0.0
POL000140,0.565,42,9.7,96.0,76,7500.0,suburban,petrol,comprehensive,0,0.0
POL000141,0.853,59,6.1,139.0,95,8400.0,suburban,petrol,comprehensive,0,0.0
POL000142,0.919,45,4.9,66.0,97,18000.0,urban,petrol,comprehensive,0,0.0
POL000143,0.908,54,5.7,128.0,143,12900.0,urban,diesel,comprehensive,0,0.0
POL000144,0.72,65,11.6,145.0,59,11400.0,suburban,diesel,third_party,0,0.0
POL000145,0.721,50,8.1,80.0,63,14800.0,urban,petrol,third_party,0,0.0
POL000146,0.837,63,17.0,156.0,133,11200.0,rural,diesel,third_party,0,0.0
POL000147,0.929,71,3.8,169.0,100,12400.0,urban,petrol,comprehensive,0,0.0
POL000148,0.47,77,11.8,124.0,104,1000.0,urban,diesel,third_party,0,0.0
POL000149,0.676,80,5.9,140.0,170,8900.0,suburban,petrol,comprehensive,0,0.0
POL000150,0.554,44,11.1,127.0,112,15800.0,urban,petrol,third_party,0,0.0
POL000151,0.9,73,7.1,151.0,93,24300.0,urban,diesel,comprehensive,0,0.0
POL000152,0.45,70,6.2,139.0,120,5200.0,rural,petrol,comprehensive,1,4554.85
POL000153,0.702,43,4.9,144.0,84,1100.0,urban,petrol,comprehensive,0,0.0
POL000154,0.481,52,1.7,130.0,108,1000.0,suburban,diesel,third_party,0,0.0
POL000155,0.82,49,2.4,113.0,79,15500.0,urban,petrol,comprehensive,0,0.0
POL000156,0.602,68,19.2,70.0,90,9600.0,suburban,diesel,comprehensive,0,0.0
POL000157,0.449,43,6.7,130.0,97,8300.0,urban,petrol,third_party,0,0.0
POL000158,0.571,37,5.6,89.0,87,18300.0,suburban,petrol,comprehensive,0,0.0
POL000159,0.635,43,5.7,106.0,138,13200.0,urban,petrol,comprehensive,0,0.0
POL000160,0.809,58,3.4,143.0,71,12600.0,suburban,diesel,comprehensive,0,0.0
POL000161,0.574,63,2.5,148.0,138,4700.0,suburban,petrol,comprehensive,0,0.0
POL000162,0.83,47,4.1,46.0,65,10100.0,suburban,petrol,comprehensive,0,0.0
POL000163,0.819,57,4.2,94.0,85,17600.0,urban,diesel,third_party,0,0.0
POL000164,0.788,71,0.5,158.0,184,16600.0,urban,diesel,comprehensive,1,2437.3
POL000165,0.806,48,6.0,97.0,126,8900.0,suburban,diesel,comprehensive,0,0.0
POL000166,0.363,59,5.4,147.0,111,7000.0,rural,hybrid,comprehensive,0,0.0
POL000167,0.323,58,5.3,107.0,77,14700.0,suburban,diesel,comprehensive,0,0.0
POL000168,0.752,39,30.0,113.0,66,6300.0,suburban,diesel,comprehensive,0,0.0
POL000169,0.888,55,4.4,61.0,62,10600.0,rural,petrol,comprehensive,0,0.0
POL000170,0.692,57,12.0,93.0,137,15900.0,rural,petrol,comprehensive,0,0.0
POL000171,0.764,57,6.4,122.0,80,7100.0,suburban,petrol,comprehensive,0,0.0
POL000172,0.749,58,4.2,113.0,81,13000.0,rural,electric,comprehensive,0,0.0
POL000173,0.831,76,3.8,107.0,127,6500.0,suburban,diesel,third_party,0,0.0
POL000174,0.918,48,2.2,122.0,91,14300.0,urban,diesel,third_party,0,0.0
POL000175,0.782,56,3.5,138.0,80,17100.0,urban,electric,comprehensive,0,0.0
POL000176,0.704,71,4.6,167.0,92,10000.0,urban,petrol,third_party,0,0.0
POL000177,0.754,70,21.2,85.0,117,9900.0,suburban,hybrid,third_party,0,0.0
POL000178,0.803,63,7.6,119.0,136,13400.0,suburban,petrol,third_party,0,0.0
POL000179,0.907,35,4.1,117.0,64,15200.0,suburban,hybrid,comprehensive,0,0.0
POL000180,0.787,47,0.7,116.0,82,13600.0,urban,hybrid,comprehensive,0,0.0
POL000181,0.607,40,3.0,124.0,86,12500.0,urban,petrol,comprehensive,0,0.0
POL000182,0.765,82,11.0,100.0,132,7400.0,urban,diesel,third_party,1,2227.74
POL000183,0.797,65,3.8,109.0,100,12500.0,suburban,petrol,comprehensive,0,0.0
POL000184,0.734,54,8.2,124.0,90,12100.0,urban,hybrid,third_party,0,0.0
POL000185,0.682,49,5.9,160.0,138,6600.0,suburban,petrol,third_party,1,3579.57
POL000186,0.313,54,12.9,97.0,108,10500.0,suburban,electric,third_party,0,0.0
POL000187,0.912,28,5.5,110.0,131,13400.0,suburban,petrol,comprehensive,1,1639.82
POL000188,0.757,44,7.4,123.0,67,13100.0,suburban,petrol,third_party,0,0.0
POL000189,0.591,72,11.2,52.0,76,10800.0,suburban,hybrid,third_party,0,0.0
POL000190,0.967,59,7.8,110.0,154,15100.0,urban,petrol,third_party,1,2599.77
POL000191,0.755,57,10.4,64.0,77,15900.0,suburban,petrol,comprehensive,0,0.0
POL000192,0.873,36,2.3,103.0,102,18900.0,rural,diesel,comprehensive,0,0.0
POL000193,0.36,92,11.3,100.0,80,18300.0,rural,electric,comprehensive,0,0.0
POL000194,0.809,54,9.1,55.0,115,14200.0,suburban,petrol,third_party,0,0.0
POL000195,0.865,54,2.6,88.0,117,12200.0,rural,petrol,comprehensive,0,0.0
POL000196,0.791,43,3.8,140.0,128,13200.0,suburban,petrol,comprehensive,0,0.0
POL000197,0.926,41,4.9,97.0,80,13300.0,urban,petrol,third_party,0,0.0
POL000198,0.957,66,14.3,93.0,118,18600.0,urban,hybrid,comprehensive,0,0.0
POL000199,0.874,82,10.5,144.0,99,10500.0,urban,petrol,comprehensive,1,3329.62
POL000200,0.873,36,5.4,120.0,71,12800.0,suburban,petrol,comprehensive,0,0.0
POL000201,0.874,47,7.5,77.0,207,4500.0,rural,diesel,third_party,1,712.28
POL000202,0.793,92,8.9,92.0,124,12500.0,rural,petrol,comprehensive,0,0.0
POL000203,0.584,48,10.4,143.0,100,14800.0,rural,electric,comprehensive,0,0.0
POL000204,0.962,62,1.7,142.0,185,12900.0,urban,petrol,third_party,0,0.0
POL000205,0.703,72,2.8,75.0,61,15900.0,suburban,petrol,comprehensive,0,0.0
POL000206,0.775,66,7.0,113.0,87,7300.0,rural,petrol,comprehensive,0,0.0
POL000207,0.606,70,5.9,103.0,120,9200.0,rural,petrol,third_party,0,0.0
POL000208,0.784,60,6.2,127.0,148,25600.0,rural,hybrid,comprehensive,1,1054.69
POL000209,0.938,60,1.4,131.0,93,8700.0,urban,diesel,third_party,0,0.0
POL000210,0.407,64,4.4,147.0,89,18000.0,urban,petrol,third_party,0,0.0
POL000211,0.445,55,4.5,54.0,130,9800.0,urban,diesel,comprehensive,0,0.0
POL000212,0.849,42,1.9,103.0,112,15200.0,urban,hybrid,third_party,0,0.0
POL000213,0.606,47,7.4,124.0,76,1000.0,urban,diesel,comprehensive,0,0.0
POL000214,0.599,52,5.7,145.0,79,10100.0,suburban,petrol,comprehensive,0,0.0
POL000215,0.277,67,3.2,119.0,132,16500.0,suburban,petrol,comprehensive,0,0.0
