customer_id,tenure_months,contract,internet_service,payment_method,paperless_billing,n_services,monthly_charges,total_charges,support_tickets_90d,churn
CUS000000,16,month_to_month,fiber,electronic_check,True,4,72.51,1194.91,0,1
CUS000001,63,month_to_month,dsl,bank_transfer,False,5,61.3,3877.52,0,0
CUS000002,21,month_to_month,dsl,credit_card,True,5,63.06,1351.73,0,1
CUS000003,3,one_year,dsl,bank_transfer,False,3,51.83,151.16,1,0
CUS000004,9,two_year,fiber,mailed_check,False,3,67.28,598.31,1,0
CUS000005,3,one_year,dsl,mailed_check,False,2,38.42,114.31,1,0
CUS000006,36,month_to_month,fiber,electronic_check,True,1,55.6,1885.34,1,0
CUS000007,21,month_to_month,fiber,electronic_check,False,4,65.24,1283.36,2,1
CUS000008,25,one_year,dsl,mailed_check,False,6,58.82,1507.02,1,0
CUS000009,54,month_to_month,none,bank_transfer,True,2,35.85,1848.38,0,0
CUS000010,50,one_year,fiber,mailed_check,True,6,77.19,3639.88,2,0
CUS000011,8,month_to_month,fiber,electronic_check,False,0,50.0,388.24,0,1
CUS000012,35,two_year,none,electronic_check,False,6,53.47,1960.99,0,0
CUS000013,26,one_year,none,bank_transfer,True,3,37.1,924.7,1,0
CUS000014,16,one_year,fiber,bank_transfer,False,0,47.16,780.43,1,0
CUS000015,19,month_to_month,none,credit_card,False,3,35.99,642.38,1,0
CUS000016,15,month_to_month,dsl,electronic_check,False,0,36.12,507.61,2,1
CUS000017,25,month_to_month,dsl,credit_card,True,1,40.95,1064.02,1,1
CUS000018,35,month_to_month,fiber,credit_card,True,5,68.32,2272.29,0,1
CUS000019,33,one_year,fiber,credit_card,False,1,55.21,1721.73,0,0
CUS000020,4,month_to_month,fiber,mailed_check,True,2,61.27,230.82,0,1
CUS000021,26,month_to_month,fiber,bank_transfer,True,6,76.74,2048.69,2,0
CUS000022,23,one_year,fiber,mailed_check,True,5,72.0,1600.12,0,0
CUS000023,30,month_to_month,none,electronic_check,True,2,30.28,922.83,0,0
CUS000024,11,two_year,fiber,bank_transfer,True,4,62.76,706.09,0,0
CUS000025,1,two_year,fiber,credit_card,True,0,41.92,,2,0
CUS000026,23,one_year,none,credit_card,True,2,29.07,684.32,1,0
CUS000027,41,two_year,fiber,bank_transfer,False,3,58.91,2458.92,1,0
CUS000028,31,two_year,none,electronic_check,True,1,30.23,876.6,0,0
CUS000029,49,one_year,dsl,electronic_check,True,5,57.13,2851.21,1,0
CUS000030,59,month_to_month,fiber,electronic_check,True,0,46.87,2602.79,0,0
CUS000031,47,two_year,fiber,electronic_check,False,2,50.85,2362.48,1,0
CUS000032,22,month_to_month,dsl,mailed_check,False,5,55.69,1170.33,2,0
CUS000033,12,month_to_month,dsl,electronic_check,False,3,43.57,501.17,0,1
